headword,words,ner,docSize,sentSize
Brazilian,[Brazilian],MISC,1,1
Brazilians,[Brazilians],MISC,1,1
Buick,[Buick],ORGANIZATION,1,1
Buses,[Buses],O,1,1
CAR,[CAR],O,1,1
STORIES,[CAR", COLOR", STORIES],O,1,1
CARS,[CARS],O,1,5
CMYK,[CMYK],O,1,1
COOL,[COOL],O,1,1
Camaro,[Camaro],O,1,1
Campsall,[Campsall],PERSON,1,1
Camry,[Camry],MISC,1,1
Tales,[Car", Color", Tales],O,1,3
show,[Carrey", show],PERSON,1,1
Cartalk,[Cartalk],LOCATION,1,1
Champaigne,[Champaigne],O,1,1
Cherokee,[Cherokee],MISC,1,1
V-8,[Chevrolet", Corvette", V-8],O,1,1
Chris,[Chris],PERSON,1,1
Color,[Color],O,1,31
show,[Drew", Carrey", show],O,1,1
Insurance,[DriveSM", Insurance],ORGANIZATION,1,1
Pink,[Drunk", Tank", Pink],ORGANIZATION,1,2
E-books,[E-books],O,1,1
Ecuador,[Ecuador],LOCATION,1,1
Matters,[Energy", Matters],O,1,1
Part,[Factoids", Part],O,1,5
Firebird,[Firebird],MISC,1,1
Folks,[Folks],O,1,1
Frontiers,[Frontiers],O,1,1
Tales,[Fun", Color", Tales],O,1,1
GREY,[GREY],PERSON,1,1
Germany,[Germany],LOCATION,1,1
Global,[Global],O,1,6
Half,[Half],O,1,1
Hartford,[Hartford],PERSON,1,1
Hawaii,[Hawaii],LOCATION,1,1
Historical,[Historical],O,1,1
Accord,[Honda", Accord],ORGANIZATION,1,1
Accord,[Honda", Accord],O,1,1
Hope,[Hope],O,1,1
IT,[IT],O,1,1
Indonesia,[Indonesia],LOCATION,1,1
Influences,[Influences],O,1,1
Agencies,[Insurance", Agencies],O,1,1
Morton,[J.L.", Morton],PERSON,1,1
J.L.Morton,[J.L.Morton],O,1,1
GOSH,[Jake", My", GOSH],PERSON,1,1
Kids,[Kids],O,1,2
Logout,[Login", |", Logout],O,1,1
Logout,[Logout],O,1,1
MORE,[MORE],O,1,1
Wiz,[Mac", A", Meleon", Gee", Wiz],O,1,1
Magic,[Magic],O,1,1
Magliozzi,[Magliozzi],PERSON,1,1
Map,[Map],O,1,1
Matters,[Matters],O,1,3
Metamerism,[Metamerism],O,1,2
Morton,[Morton],PERSON,1,1
Munsell,[Munsell],PERSON,1,1
Newsletter,[Newsletter],ORGANIZATION,1,1
Nobody,[Nobody],O,1,1
Nothing,[Nothing],O,1,1
One,[One],DATE,1,1
Pakistan,[Pakistan],LOCATION,1,1
Turquoise,[Parker", Turquoise],PERSON,1,1
Patrol,[Patrol],ORGANIZATION,1,1
People,[People],O,1,1
Pink,[Pink],ORGANIZATION,1,2
Reports,[Police", Reports],O,1,1
Policy,[Policy],O,1,1
Projects,[Projects],O,1,1
RGB,[RGB],O,1,1
Rabbit,[Rabbit],O,1,1
Magliozzi,[Ray", Magliozzi],PERSON,1,1
Red,[Red],MISC,1,1
Red,[Red],O,1,1
Red,[Red],O,1,1
Red,[Red],O,1,1
cars,[Red", cars],O,1,1
Ro,[Ro],PERSON,1,1
Susan,[Ro", Hi", Susan],PERSON,1,1
Newsletter,[Rochester", N.Y.", Washington", D.C.", Newsletter],ORGANIZATION,1,1
SO,[SO],O,1,2
Saturn,[Saturn],O,1,1
Buses,[School", Buses],O,1,1
Smell,[Smell],O,1,1
Someday,[Someday],O,1,1
Something,[Something],O,1,1
Source,[Source],O,1,1
Subaru,[Subaru],PERSON,1,1
Wagon,[Subaru", Wagon],ORGANIZATION,1,1
Susan,[Susan],PERSON,1,1
Symbolism,[Symbolism],O,1,1
Theories,[Symbolism", Theories],O,1,1
Yes,[Thalomarly", Yes],O,1,1
Hartford,[Thorne", Hartford],PERSON,1,1
Tom,[Tom],PERSON,1,1
Turquoise,[Turquoise],PERSON,1,1
UK,[UK],LOCATION,1,1
UK,[UK],LOCATION,1,1
US,[US],LOCATION,1,1
USA,[USA],LOCATION,1,8
VW,[VW],ORGANIZATION,1,1
VW,[VW],O,1,1
Rabbit,[VW", Rabbit],O,1,1
bugs,[VW", bugs],ORGANIZATION,1,1
WIZ44630,[WIZ44630],NUMBER,1,1
Wagon,[Wagon],ORGANIZATION,1,1
White,[White],O,1,1
cars,[White", cars],O,1,1
Wiz,[Wiz],PERSON,1,1
Yep,[Yep],O,1,1
Yes,[Yes],O,1,1
able,[able],O,1,2
accident,[accident],O,1,3
histories,[accident", histories],O,1,1
rates,[accident", rates],O,1,1
accidents,[accidents],O,1,1
action,[action],O,1,1
active,[active],O,1,1
adequate,[adequate],O,1,1
adios,[adios],O,1,1
advice,[advice],O,1,1
amusing,[amusing],O,1,1
angry,[angry],O,1,1
answer,[answer],O,1,2
aqua,[aqua],O,1,1
coat,[aqua", pearl", coat],O,1,1
aqua-colored,[aqua-colored],O,1,1
area,[area],O,1,1
areas,[areas],O,1,1
areas,[areas],O,1,1
asphalt,[asphalt],O,1,1
associations,[associations],O,1,1
attentive,[attentive],O,1,1
attitude,[attitude],O,1,1
auto,[auto],O,1,1
rates,[auto", insurance", rates],O,1,1
available,[available],O,1,2
baby,[baby],O,1,1
back,[back],O,1,1
bad,[bad],O,1,1
ball,[ball],O,1,2
ball,[ball],O,1,1
balls,[balls],O,1,1
beige,[beige],O,1,1
best,[best],O,1,1
bigger,[bigger],O,1,1
table,[billiard", table],O,1,1
birds,[birds],O,1,2
bit,[bit],O,1,1
black,[black],O,1,5
blue,[blue],O,1,1
type,[body", type],O,1,1
bond,[bond],O,1,1
brakes,[brakes],O,1,1
brand,[brand],O,1,1
bright,[bright],O,1,2
broad,[broad],O,1,1
brown,[brown],O,1,2
bugs,[bugs],O,1,1
bureau,[bureau],O,1,1
business,[business],O,1,2
busy,[busy],O,1,1
c,[c],O,1,1
car,[car],O,1,2
colors,[car", colors],O,1,1
owners,[car", owners],O,1,3
business,[car", repair", business],O,1,1
firms,[car", repair", firms],O,1,1
salesmen,[car", salesmen],O,1,1
today,[car", today],O,1,1
carefull,[carefull],O,1,1
careless,[careless],O,1,1
cars,[cars],O,1,30
travel,[cars", travel],O,1,1
cell,[cell],O,1,1
truck,[cement", truck],O,1,1
traits,[character", traits],O,1,1
choice,[choice],O,1,3
lebarron,[chrysler", lebarron],O,1,1
cleaning,[cleaning],O,1,1
closer,[closer],O,1,1
coat,[coat],O,1,1
cocky,[cocky],O,1,1
collection,[collection],O,1,1
collisions,[collisions],O,1,2
color,[color],O,1,20
choice,[color", choice],O,1,1
tale,[color", tale],O,1,1
colors,[colors],O,1,1
colour,[colour],O,1,1
company,[company],O,1,1
comprehensive,[comprehensive],O,1,1
conditions,[conditions],O,1,1
conservative,[conservative],O,1,2
convertable,[convertable],O,1,1
convertable,[convertable],O,1,1
convinced,[convinced],O,1,1
cops,[cops],O,1,1
correlations,[correlations],O,1,1
side,[country", side],O,1,1
years,[couple", years],DATE,1,1
courteous,[courteous],O,1,1
covert,[covert],O,1,1
crash,[crash],O,1,1
crazy,[crazy],O,1,1
ball,[cue", ball],O,1,1
curve,[curve],O,1,1
customer,[customer],O,1,1
cutoff,[cutoff],O,1,1
dark,[dark],O,1,7
date,[date],O,1,1
day,[day],DATE,1,3
day,[day],DURATION,1,1
days,[days],DURATION,1,1
deep,[deep],O,1,1
defective,[defective],O,1,1
description,[description],O,1,1
designer,[designer],O,1,1
detector,[detector],O,1,3
difference,[difference],O,1,1
different,[different],O,1,2
direction,[direction],O,1,1
dirt,[dirt],O,1,1
dirtier,[dirtier],O,1,1
dirty,[dirty],O,1,3
diving,[diving],O,1,1
dollars,[dollars],MONEY,1,1
drive,[drive],O,1,1
driver,[driver],O,1,4
record,[driving", record],O,1,1
droppings,[droppings],O,1,1
due,[due],O,1,3
dull,[dull],O,1,1
hours,[dusky", evening", hours],O,1,1
dust,[dust],O,1,1
emerald,[emerald],O,1,1
malfunction,[engine", malfunction],O,1,1
size,[engine", size],O,1,1
engines,[engines],O,1,1
entry-level,[entry-level],O,1,1
escort,[escort],O,1,1
essential,[essential],O,1,1
hours,[evening", hours],TIME,1,1
excellent,[excellent],O,1,1
experience,[experience],O,1,1
eyeshadow,[eyeshadow],O,1,1
fabulous,[fabulous],O,1,1
fact,[fact],O,1,1
family,[family],O,1,2
fault,[fault],O,1,2
faulty,[faulty],O,1,1
favorite,[favorite],O,1,1
fertility,[fertility],O,1,1
few,[few],O,1,2
fewer,[fewer],O,1,1
fields,[fields],O,1,1
filthy,[filthy],O,1,2
fine,[fine],O,1,1
firebird,[firebird],O,1,1
firms,[firms],O,1,1
first,[first],ORDINAL,1,3
five,[five],NUMBER,1,1
five,[five],DURATION,1,1
flashiness,[flashiness],O,1,1
foggy,[foggy],O,1,1
foot,[foot],O,1,1
team,[football", team],O,1,1
four,[four],NUMBER,1,2
four-cylinder,[four-cylinder],O,1,1
freeway,[freeway],O,1,1
frequency,[frequency],O,1,1
friend,[friend],O,1,2
friends,[friends],O,1,1
front,[front],O,1,6
funny,[funny],O,1,2
game,[game],O,1,1
girls,[girls],O,1,1
god,[god],O,1,1
color,[goldish", color],O,1,1
good,[good],O,1,3
gov,[gov],O,1,1
granny,[granny],O,1,1
gray,[gray],O,1,2
green,[green],O,1,12
green,[green],O,1,1
ground,[ground],O,1,1
guys,[guys],O,1,4
hair,[hair],O,1,1
harmony,[harmony],O,1,1
heavens,[heavens],O,1,1
heavy,[heavy],O,1,1
high,[high],O,1,1
higher,[higher],O,1,1
highway,[highway],O,1,1
histories,[histories],O,1,1
home,[home],O,1,1
honey-toned,[honey-toned],O,1,1
hood,[hood],O,1,1
hour,[hour],DURATION,1,1
hours,[hours],DURATION,1,1
house,[house],O,1,1
hundreds,[hundreds],O,1,1
hunter-green,[hunter-green],O,1,1
hyper,[hyper],O,1,1
implications,[implications],O,1,1
information,[information],O,1,3
instance,[instance],O,1,1
company,[insurance", company],O,1,1
rates,[insurance", rates],O,1,1
interesting,[interesting],O,1,1
interstate.I,[interstate.I],O,1,1
invisible,[invisible],O,1,2
cell,[jail", cell],O,1,1
joys,[joys],O,1,1
launch,[launch],O,1,1
laws,[laws],O,1,1
lebarron,[lebarron],O,1,1
less,[less],O,1,1
conditions,[level", conditions],O,1,1
licenses,[licenses],O,1,1
light,[light],O,1,2
light,[light],O,1,1
light,[light],O,1,1
lights,[lights],O,1,2
likely,[likely],O,1,1
lime,[lime],O,1,1
limit,[limit],O,1,1
lines,[lines],O,1,1
little,[little],O,1,1
local,[local],O,1,1
room,[locker", room],O,1,1
long,[long],O,1,1
lookout,[lookout],O,1,1
looks,[looks],O,1,2
lot,[lot],O,1,1
low,[low],O,1,1
lunatics,[lunatics],O,1,1
car,[luxury", car],O,1,1
m,[m],O,1,1
tires,[mag", tires],O,1,1
malfunction,[malfunction],O,1,1
manufacturers,[manufacturers],O,1,1
many,[many],O,1,4
matter,[matter],O,1,1
mazda,[mazda],O,1,1
mechanic,[mechanic],O,1,1
member,[member],O,1,1
metallic,[metallic],O,1,5
mine,[mine],O,1,1
minor,[minor],O,1,1
mirror,[mirror],O,1,1
mishaps,[mishaps],O,1,1
moment,[moment],O,1,1
months,[months],DURATION,1,1
mood,[mood],O,1,1
morning,[morning],TIME,1,1
mother,[mother],O,1,1
name,[name],O,1,1
near,[near],O,1,1
new,[new],O,1,4
non-white,[non-white],O,1,1
number,[number],O,1,1
old,[old],DURATION,1,1
oldsmobile,[oldsmobile],O,1,1
one,[one],DURATION,1,1
one,[one],NUMBER,1,1
opinion,[opinion],O,1,1
original,[original],O,1,1
other,[other],O,1,5
other,[other],DATE,1,1
others,[others],O,1,1
own,[own],O,1,1
god,[pagan", god],O,1,1
park,[park],O,1,1
park,[park],O,1,1
particular,[particular],O,1,2
past,[past],DATE,1,1
coat,[pearl", coat],O,1,1
people,[people],O,1,14
person,[person],O,1,2
pigeon,[pigeon],O,1,1
pigeons,[pigeons],O,1,1
cell,[pink", jail", cell],O,1,1
point,[point],O,1,1
police,[police],O,1,1
person,[police", person],O,1,1
policemen,[policemen],O,1,1
problem,[problem],O,1,2
projectiles,[projectiles],O,1,1
purchase,[purchase],O,1,1
quality,[quality],O,1,1
questions,[questions],O,1,1
detector,[radar", detector],O,1,1
rain,[rain],O,1,1
ratty,[ratty],O,1,1
real,[real],O,1,1
rear,[rear],O,1,3
record,[record],O,1,1
record,[record],O,1,1
red,[red],O,1,10
red,[red],O,1,1
red,[red],O,1,1
reds,[reds],O,1,1
regular,[regular],O,1,1
business,[repair", business],O,1,1
firms,[repair", firms],O,1,1
owners,[repair", shop", owners],O,1,1
rid,[rid],O,1,1
surface,[road", surface],O,1,1
rural,[rural],O,1,1
s,[s],O,1,1
sale,[sale],O,1,1
salesman,[salesman],O,1,1
same,[same],O,1,2
saturated,[saturated],O,1,1
sensible,[sensible],O,1,1
shade,[shade],O,1,1
shape,[shape],O,1,1
shine,[shine],O,1,1
show,[show],O,1,1
silly,[silly],O,1,1
six,[six],NUMBER,1,1
small,[small],O,1,1
smart,[smart],O,1,1
snooker,[snooker],O,1,1
table,[snooker", table],O,1,1
snow,[snow],O,1,1
limit,[speed", limit],O,1,1
spider,[spider", web],O,1,1
cars,[sports", cars],O,1,1
sporty,[sporty],O,1,1
police,[state", police],O,1,1
steering,[steering],O,1,1
stereo,[stereo],O,1,1
stripes,[stripes],O,1,1
style,[style],O,1,1
superiority,[superiority],O,1,1
sure,[sure],O,1,1
team,[team],O,1,1
ticket,[ticket],O,1,2
collection,[ticket", collection],O,1,1
tickets,[tickets],O,1,2
time,[time],O,1,1
top,[top],O,1,1
Camaro,[turquoise", Camaro],O,1,1
waxing,[waxing],O,1,1
yellow,[yellow],O,1,1
%,[%],PERCENT,1,6
1,[1],MONEY,1,1
1",269",565,[1",269",565],NUMBER,1,1
1",373",029,[1",373",029],NUMBER,1,1
million,[10", million],NUMBER,1,1
12.1,[12.1],PERCENT,1,1
12.3,[12.3],PERCENT,1,1
14.4,[14.4],PERCENT,1,1
1500,[1500],DATE,1,1
1886,[1886],DATE,1,1
1887,[1887],DATE,1,1
1893,[1893],DATE,1,1
1900,[1900],DATE,1,2
1903,[1903],DATE,1,1
1911,[1911],DATE,1,1
1914,[1914],DATE,1,1
1915,[1915],DATE,1,1
1917,[1917],DATE,1,1
1928,[1928],DATE,1,1
1929,[1929],DATE,1,1
1933,[1933],DATE,1,1
1934,[1934],DATE,1,1
1935,[1935],DATE,1,1
1937,[1937],DATE,1,1
1941,[1941],DATE,1,1
1948,[1948],DATE,1,1
1950s,[1950s],DATE,1,1
1950s-1960s,[1950s-1960s],NUMBER,1,1
1953,[1953],DATE,1,1
1954,[1954],DATE,1,1
1959,[1959],DATE,1,1
1960,[1960],DATE,1,1
1960s,[1960s],DATE,1,1
1963,[1963],DATE,1,1
1966,[1966],DATE,1,1
1967,[1967],DATE,1,1
1970,[1970],DATE,1,1
1970s,[1970s],DATE,1,2
1973,[1973],DATE,1,3
1974,[1974],DATE,1,1
1976,[1976],DATE,1,1
1980s,[1980s],DATE,1,1
1986,[1986],DATE,1,1
1990s,[1990s],DATE,1,1
1999,[1999],DATE,1,1
19th,[19th],DATE,1,1
2",004",373,[2",004",373],NUMBER,1,1
2",033",442,[2",033",442],NUMBER,1,1
2",376",841,[2",376",841],NUMBER,1,1
2008,[2008],DATE,1,1
2011,[2011],DATE,1,1
2014,[2014],DATE,1,10
580",234,[2014", 580",234],DATE,1,1
3.1,[3.1],PERCENT,1,1
3.5,[3.5],PERCENT,1,2
4.2,[4.2],PERCENT,1,1
4.4,[4.4],PERCENT,1,1
5,[5],NUMBER,1,1
513",693,[513",693],NUMBER,1,1
574",155,[574",155],NUMBER,1,1
692",348,[692",348],NUMBER,1,1
7.7,[7.7],PERCENT,1,1
70,[70],NUMBER,1,1
725",718,[725",718],NUMBER,1,1
8.3,[8.3],PERCENT,1,1
80,[80],PERCENT,1,1
90,[90],NUMBER,1,1
Accord,[Accord],O,1,1
Acura,[Acura],ORGANIZATION,1,1
Logo,[Acura", Logo],ORGANIZATION,1,2
Logo,[Alfa", Romeo", Logo],PERSON,1,2
Allies,[Allies],O,1,1
America,[America],LOCATION,1,1
American,[American],MISC,1,2
Americans,[Americans],MISC,1,1
Army,[Army],ORGANIZATION,1,1
Aspire,[Aspire],ORGANIZATION,1,1
Martin,[Aston", Martin],ORGANIZATION,1,1
Logo,[Audi", Logo],ORGANIZATION,1,2
Australian,[Australian],MISC,1,1
Thailand,[AutoAlliance", Thailand],O,1,1
Automobiles,[Automobiles],O,1,2
Group,[Automotive", Group],ORGANIZATION,1,1
Avella,[Avella],PERSON,1,1
Logo,[BMW", Logo],O,1,2
Best,[Best],O,1,1
Bluebird,[Bluebird],O,1,1
Names,[Brand", Names],MISC,1,1
Brands,[Brands],MISC,1,8
Brands,[Brands],O,1,1
Brands,[Brands],O,1,1
Brands,[Brands],O,1,1
British,[British],O,1,1
Logo,[Bugatti", Logo],O,1,1
Logo,[Buick", Logo],ORGANIZATION,1,1
Logo,[Cadillac", Logo],ORGANIZATION,1,1
Names,[Car", Brand", Names],MISC,1,1
Division,[Chevrolet", Division],ORGANIZATION,1,1
Logo,[Chevrolet", Logo],ORGANIZATION,1,1
Chevrolet-branded,[Chevrolet-branded],O,1,1
Chevy,[Chevy],ORGANIZATION,1,1
China,[China],LOCATION,1,5
Chrysler,[Chrysler],ORGANIZATION,1,1
Corporation,[Chrysler", Corporation],ORGANIZATION,1,1
Logo,[Chrysler", Logo],ORGANIZATION,1,1
Logo,[Citroen", Logo],O,1,1
Corporation,[Corporation],ORGANIZATION,1,5
Motor,[Daewoo", Motor],ORGANIZATION,1,1
Car,[Dat", Car],PERSON,1,1
Datsun,[Datsun],O,1,1
Bluebird,[Datsun", models", Bluebird],O,1,1
Dearborn,[Dearborn],LOCATION,1,1
automakers,[Detroit", automakers],LOCATION,1,1
Division,[Division],ORGANIZATION,1,2
Dodge,[Dodge],ORGANIZATION,1,1
Dodge,[Dodge],O,1,1
Division,[Dodge", Division],ORGANIZATION,1,1
Logo,[Dodge", Logo],ORGANIZATION,1,1
R,[Dr.", Edwin", R],O,1,1
Due,[Due],O,1,1
Durant,[Durant],PERSON,1,1
Duryea,[Duryea],PERSON,1,1
Company,[Duryea", Motor", Wagon", Company],ORGANIZATION,1,1
R,[Edwin", R],PERSON,1,1
Europe,[Europe],LOCATION,1,1
European,[European],MISC,1,2
LLC,[FCA", US", LLC],ORGANIZATION,1,1
Logo,[Ferrari", Logo],ORGANIZATION,1,1
Automobiles,[Fiat", Chrysler", Automobiles],ORGANIZATION,1,1
Logo,[Fiat", Logo],ORGANIZATION,1,1
Ford,[Ford],PERSON,1,1
Aspire,[Ford", Aspire],ORGANIZATION,1,1
name,[Ford", Festiva", name],ORGANIZATION,1,1
Ho,[Ford", Lio", Ho],ORGANIZATION,1,1
Logo,[Ford", Logo],ORGANIZATION,1,1
T,[Ford", Model", T],ORGANIZATION,1,1
Company,[Ford", Motor", Company],ORGANIZATION,1,4
Otosan,[Ford", Otosan],ORGANIZATION,1,1
Russia,[Ford", Sollersin", Russia],ORGANIZATION,1,1
Duryea,[Frank", Duryea],PERSON,1,1
French,[French],MISC,1,2
Industries,[Fuji", Heavy", Industries],ORGANIZATION,1,1
Logo,[GMC", Logo],O,1,1
Company,[General", Motors", Company],ORGANIZATION,1,1
Group,[Group],ORGANIZATION,1,3
Hamamatsu,[Hamamatsu],LOCATION,1,1
Industries,[Heavy", Industries],ORGANIZATION,1,1
Ford,[Henry", Ford],PERSON,1,1
Hino,[Hino],ORGANIZATION,1,1
Ho,[Ho],ORGANIZATION,1,1
Holden,[Holden],PERSON,1,1
Honda,[Honda],ORGANIZATION,1,4
Logo,[Honda", Logo],ORGANIZATION,1,1
company,[Honda", company],ORGANIZATION,1,1
Hyundai,[Hyundai],ORGANIZATION,1,2
Group,[Hyundai", Group],ORGANIZATION,1,2
Group,[Hyundai", Kia", Automotive", Group],ORGANIZATION,1,1
Logo,[Hyundai", Logo],ORGANIZATION,1,1
Company,[Hyundai", Motor", Company],ORGANIZATION,1,2
Industries,[Industries],ORGANIZATION,1,1
Logo,[Infiniti", Logo],O,1,1
Logo,[Jaguar", Logo],ORGANIZATION,1,1
Japanese,[Japanese],MISC,1,3
Jeep,[Jeep],O,1,1
Logo,[Jeep", Logo],O,1,1
Jeeps,[Jeeps],O,1,2
Jiangling,[Jiangling],ORGANIZATION,1,1
June,[June],DATE,1,1
Logo,[KIA", Logo],ORGANIZATION,1,1
Group,[Kia", Automotive", Group],ORGANIZATION,1,1
Avella,[Kia", Avella],PERSON,1,1
Corporation,[Kia", Motors", Corporation],ORGANIZATION,1,1
Kingdom,[Kingdom],LOCATION,1,2
Korea,[Korea],LOCATION,1,3
Korean,[Korean],MISC,1,1
LLC,[LLC],ORGANIZATION,1,1
Logo,[Lamborghini", Logo],O,1,1
Logo,[Land", Rover", Logo],O,1,1
Lexus,[Lexus],O,1,1
Logo,[Lexus", Logo],O,1,1
Lincoln,[Lincoln],PERSON,1,1
Logo,[Lincoln", Logo],ORGANIZATION,1,1
Ho,[Lio", Ho],ORGANIZATION,1,1
List,[List],O,1,1
Logo,[Logo],PERSON,1,1
Logo,[Logo],O,1,1
Logo,[Logo],O,1,1
